Word,Meaning
allusion,(f.) upanītavācā. (nt.) āsajjavacana.
alluvial,(adj.) kalalamaya.
ally,(v.t.) sambandhati; saṃyojeti; sandhāti.
almighty,(adj.; n.) nikhilabaladhara.
almoner,(m.) dānasaṃvibhajaka.
almonry,(f.) dānasālā.
almost,(adv.) pāyo ; bhīyoso.
almost dead,(adj.) matapāya.
almost the whole,(adv.) kevalakappaṃ.
alms,(f.) bhikkhā. (m.) piṇḍapāta. (nt.) dāna.
alms bowl,(m.) patta.
alms collection,(m.) bhikkhācāra. (f.)
alms collector,(m.) piṇḍapātika; bhikkhaka.
alms giver,(m.) piṇḍadāyī.
alms giving,(nt.) bhikkhādāna.  alms hall : (nt.) bhattagga. (f.) dānasālā.
aloe,(m.) agaru; agalu.
aloft,(adv.) upari; uddhaṃ.
alone,(adv.) kevalaṃ. (adj.) ekaka; adutiya;
along,(adv.) ādito yāv'antā.
along sh ore,(adv.) anutīraṃ.
along side,(ind.) passato.
along with,(ind.) saha; saddhiṃ.
aloof,(adv.) ārā; ārakā; dūrato.
aloofness,(nt.) āratta; dūratta.
aloud,(adv.) uccassarena.
alphabet,(f.) vaṇṇamālā.
alphabetical,(adj.) vaṇṇamālānugata.
alrea dy,(adv.) pageva.
also,(adv.; conj.) apica; puna ca; aparañ ca.
altar,(nt.) pūjāsana. (f.) yāgavedikā.
alter,(v.t.) viparivatteti; vipariṇāmeti. (pp.)
alteration,(nt.) vipariṇā mana;
alterative,(adj.) viparivattaka;
altercate,(v.i.) vivadati. (pp.) vivadita.
altercation,(m.) vivāda. (nt.) bhaṇḍana.
alternate,(v.t.) vārena karoti. (v.i.)
alternately,(adv.) vārena vāraṃ;
alternation,(nt.) aññamaññaparivattana.
alternative,(m.) vikappa; itaravidhi. (adj.)
alternatively,(adv.) vikappavasena .
although,(conj.) yadi pi; sace pi; api.
altitude,(m.) ubbedha.
altogether,(adv.) sabbaso; sabbathā;
altruism,(f.) parahitakāmitā.
altruist,(m.) paratthakārī.
altruistic,(adj.) parahitakara.
aluminium,(nt.) lahu -setaloha.
always,(adv.) satataṃ; niccaṃ; santataṃ;
amain,(adv.) ativegena.
amalgamate,(v.t.) misseti; saṃyojeti. (pp.)
amalgamation,(nt.) missīkaraṇa;
amass,(v.t.) sañcināti; rāsīkaroti. (pp.)
amassment,(m.) sañcaya; puñja. (nt.)
amateur,(adj.) kalābhirata; vonodakāmī.
amative,(adj.) pemayutta; sānurāga.
amativeness,(f.) pemayuttatā; sānurāgatā.
amatory,(adj.) pemabahula; siṅgārappiya;
amaze,(v.t.) vimheti. (pp.) vimhita.
amazement,(m.) vimhaya. (nt.) acchariya.
amazing,(adj.) vimhayāvaha;
amazon,(f.) yuddhakāminī.
ambassador,(m.) rajadūta.
ambassadorship,(nt.) dūtakicca.
amber,(m.) tiṇamaṇi; vaṃsavaṇṇa.
ambigui ty,(f.) ubhayatthata; silesakathā.
ambiguous,(adj.) sandiddha; apākaṭattha;
ambiguously,(adv.) sasandehaṃ; sāsaṅkaṃ.
ambition,(f.) īhā; yasākaṅkhā;
ambitious,(adj.) unnatikāmī; īhāyutta.
ambitiously,(adv.) īhāya; unnat ikāmatāya.
amble,(v.i.) saṇikaṃ gacchati. (pp.) saṇikaṃ
ambrosia,(f.) sudhā. (nt.) amata; pīyūsa.
ambrosial,(adj.) amatasadisa.
ambulance,(m.) gilānaratha.
ambulate,(v.i.) parikkamati; anupariyāti.
ambulatory,(adj.) jaṅgama.
ambuscade,(v.i.) nilīyati; nilīyitvā tiṭṭhati.
ambush,(v.t.) nilīyāpeti. (pp.) nilīyāpita.
ameliorate,(v.t.i.)  unnāmeti; saṃvaḍḍheti.
amelioration,(f.) unnāmanā; saṃvaḍḍhanā.
amen,(intj.) sādhu; evam atthu!
amenability,(f.) suvacatā; assavatā.
amenable,(adj.) suvaca; assava; anuvattaka.
amend,(v.t.) paṭisaṅkharoti; saṃsodheti .
amendment,(nt.) paṭisaṅkharaṇa;
amenity,(f.) manuññatā; ramatā. (m.; plu.)
amerce,(v.t.) daṇḍaṃ paṇeti.
amerceme nt,(nt.) daṇḍādāna.
amethyst,(m.) ambaṅkuramaṇī.
amiable,(adj.) pemanīya; suhada; pāsādika.
amiableness,(f.) pemanīyatā; pāsādikatā.
amicable,(adj.) suhada; samaggārāma.
amicableness,(f.) mettā; sāmaggi. (nt.)
amicably,(adv.) suhadat āya; mittabhāvena.
amid,(prep.) majjhe; antare (with genitive).
amiss,(adv.) ayathā. (adj.) anucita;
amity,(f.) mettā; metti. (nt.) sohajja; sakhya.
ammunition,(nt.) yuddhopakaraṇa.
amnesty,(nt.) dosavimocana;
among,(prep.) see amid.
amongst,(prep.) see amid.
amorous,(adj.) anurāgī; kāmuka; rasika.
amorously,(adv.) sānurāgaṃ;
amorousness,(m.) anurāga.
amount,(m.) pamāṇa. (f.) saṅkhyā; mattā.
amphibian,(adj.; m.) thala -jalacārī.
amphibious,(adj.) thalajalagocara.
amphibology,(f.) dveḷhakavācā. (nt.)
amphitheatre,(nt.) aṇḍākāra -
ample,(adj.) 1. visāla; vipula; vitthiṇṇa; 2.
ampleness,(nt.) vipulatta.
amplification,(nt.) visālīkaraṇa. (m.)
amplifier,(m.) saṃvaddhaka.
amplify,(v.t.) bahulīkaroti; abhivaḍḍheti;
amplitud e,(nt.) mahatta; vepulla; bāhulla.
amputate,(v.t.) vikalaṅgaṃ or aṅgacchedaṃ
amputation,(m.) aṅgaccheda.
amuck,(adv.) mummattākārena.
amulet,(m.; nt.) kavaca; antarāyanivāraka.
amuse,(v.t.) rameti; vinodayati. (pp.)
amuse oneself,ramati; dibbati; nandati.
amusement,(f.) abhirati; kīḷā. (nt.)
amusing,(adj.) ramma; manuñña;
anaconda,(m.) ajagara.
anaemia,(m.) rudhirakkhaya.
anaesthetic,(adj.)  visaññākara.
anaesthetise,(v.t.) visaññīkaroti. (pp.)
anagram,(m.) vacanavipallāsa;
anagrammatize,(v.t.) vacanavipallāsaṃ or
analects,(f.) subhāsitamālā.
analogica l,(adj.) tulya; sadisa; samāna;
analogise,(v.t.i.) samāneti; upamāto dasseti.
analogous,(adj.) tulya; sadisa; samāna;
analogy,(f.) tulyatā; sarūpatā; upamā. (nt.)
analyse,(v.t.) vibhajati; paricchindati;
analysis,(nt.) vibhajana. (m.) vyavaccheda;
analyst,(m.) vicchedaka.
analytic,(adj.) vicchedāyatta; pabhedagata.
anal ytic insight,(f.) paṭisambhidā.
anarchic,(adj.) nītiviruddha.
anarchism,(f.) rājavirodhitā.
anarchist,(m.) rajjavirodhī; rājapaccatthika.
anarchronic,(adj.) kālānanurūpa.
anachronism,(m.) kālavirodha.
anarchy,(nt.) arājakatta. (m.) rājavihara .
anathema,(m.) abhisāpa.
anathematise,(v.t.) abhisapati. (pp.)
anatomical,(adj.) vyavacchedavisayaka.
anatomist,(m.) dehavicchedaka.  anatomise : (v.t.) (sarīraṃ) vicchindati. (pp.)
anatomy,(f.) sarīravicchedavijj ā.
ancestor,(m.) papitāmaha; ādipurisa;
ancestral,(adj.) ādipurisāyatta;
ancestry,(f.) paramparā; kulapaveṇī. (nt.)
anchor,(m.) nāvābandha; nāvaṅkusa. (v.t.)
anchorage,(nt.) 1. nāvābandhana; 2.
anchoret,(m.) tāpasa; isi.
anchorite,(m.) tāpasa; isi.
ancient,(adj.) purāṇa; purātana; porāṇika;
anciently,(adv.) purā; bhūtapubbaṃ.
ancientness,(nt.) purā ṇatta.
ancillary,(adj.) upakāraka; upatthambhaka.
and,(conj.) ca; api; api ca.
and then,(conj.) tato; atha.
and yet,(conj.) atha ca pana.
androgynous,(adj.) ubhayaliṅgika;
androgyny,(m.) ubhayaliṅgī.
anecdote,(nt.) upākhyāna . (f.)
anemometer,(nt.) vāyuvegamāṇaka.
anent,(prep.) adhikicca; uddissa; sandhāya.
anew,(adv.) abhinavaṃ; puna pi.
angel,(m.) devadūta.
angelic,(adj.) dibba; amānusika;
angelical,(adj.) dibba; amānusika;
anger,(m.) kopa; kodha; rosa; paṭigha. (nt.)
angle,(v.t.) balisena hanati. (pp.) balisahata.
angler,(m.) bālisika.
anglicise,(v.t.) eṅglaṇḍiyaṃ akroti. (pp.)
angrily,(adv.) kopena; rosena; sakopaṃ.
angry,(adj.) kuddha; kupita; ruṭṭha; sakopa;
anguish,(f.) tibbavedanā. (m.) pariḷāha;
angular,(adj.) sakoṇaka.
animal,(m.) satta; pāṇī; dehī; jīvī.
animal kingdom,(m.) j īvaloka.
animalcule,(m.) sukhumapāṇī.
animalism,(f.) indriyāsattatā.
animalise,(v.t.) sajīvaṃ karoti. (pp.) sajīvaṃ
animate,(v.t.) sajīvaṃ karoti; uttejeti;
anima tion,(f.) uttejanā.
animism,(m.) attavāda.
animist,(m.) attavādī.
animistic,(adj.) attavādāyatta.
animosity,(nt.) vera. (m.) viddesa.
animus,(m.) vyāpāda.
ankle,(m.) gopphaka.
anklet,(nt.) nūpura
Anna,(m.) rūpiyassa; soḷasamabhāga.
annali st,(m.) itihāsalekhaka.
annals,(m.) vassikavuttanta; itihāsa.
annex,(v.t.) saṃyojeti; sambandhati. (pp.)
annexation,(nt.) sambandhana; saṃyojana;
annihilate,(v.t.) ucchindati; nirodheti;
annihilation,(m.) uccheda; nirodha. (nt.)
annihilator,(m.) ucchedaka.
anniversary,(m.) vassikussava; (adj.)
annotate,(v.t.i.) vyākhyāti; vaṇṇeti. (pp.)
annotation,(nt.) vyāk hyāna. (f.)
annotator,(m.) vyākhyātu; ṭīkākāra.
announce,(v.t.) anusāveti; pakāseti; nivideti.
announcement,(nt.) anusāvana; nivedana;
announcer,(m.) anusāvaka; ārocaka;
annoy,(v.t.) viheṭheti; kopeti; upaddaveti.
annoyance,(f.) vihesā; viheṭhanā; pakopanā.
annoying,(adj.) viheṭhaka; pīḷākara.
annual,(adj.) anuvassika. (m.)
annuity,(nt.) vassikavetana.
annul,(v.t.) lopeti; samucchindati. (pp.) lutta;
annular,(adj.) vaṭṭula; valayākāra.
annunciate,(v.t.) (ādito) pakāseti (or)
annunciation,(f.) pakāsanā; pageva ñā panā.
annunciator,(m.) pakāsaka; nivedaka.
anodye,(adj.) rujāpahāraka; vedanānāsaka.
anoint,(v.t.) ālepeti; vilimpeti; abhañjati;
anoint as a king,(v.t.) rajje abhisiñcati. (pp.)
anointment,(m.) abbhaṅga. (nt.) vilepana.
anomalous,(adj.) niyāmaviruddha;
anomalously,(adv.) vidhivirodhena.
anomaly,(m.) vyabhicāra; vidhivirodha.
anon,(adv.) muhuṃ; tāvad eva; sapadi.
anonym,(m.) ninnāmika.
anonymous,(adj.) aññātanāma;
anonymously,(adv.) nāmanidassanaṃ vinā.
another,(adj.) apara; itara; añña; para.
another country,(nt.) desantara.
another day,(adv.) aññadā.
answer,(v.t.i.) vissajjeti; paṭivacanaṃ deti.
answerable,(adj.) paṭivacanīya;
ant,(f.) pipīlikā; kipillikā.
antagonism,(m.) virodha. (f.) vipakkhatā.
antagonist,(m.) virodhī; vipakkhaka;
Antarctic,(adj.) dakkhiṇantagata.
antecedence,(f.) pubbaṅgamatā.
antecedent,(adj.) puregāmi; pubbaṅgama.
antechamber,(m.) antogabbha.
antedate,(v.t.) niyamadinato pubbadinaṃ
antelope,(m.) eṇimiga; kuruṅga.
anterior,(adj.) pubbatara .
anthem,(nt.) devatthutigīta.
anthill,(m.) vammika.
anthology,(m.) sāravākyasaṅgaha.
anthrax,(m.) antogaṇḍa.
anthropoid,(adj.; m.) māṇavasadisa;
anthropology,(f.) māṇavavijjā.
anthropomorphous,(adj.) manussākāra.
antibilious,(adj.) pittupasamaka.
antic,(m.) hāsuppādaka; parihāsaka.
antichristian,(adj.) kiṭṭhasamayaviruddha.
anticipant,(adj.; n.) abhikaṅkhī; apekkhaka.
anticipate,(v.t.) apekkhati; abhikaṅkhati.
antici pation,(f.) apekkha. (m.) pubbābhoga.
antidotal,(adj.) visanāsaka.
antidote,(nt.) visanāsakosadha.
antimony,(nt.) kapotañjana.
antinomy,(m.) vidhivirodha.
antipathetic,(adj.) pakativiruddha;
antipathy,(m.) pakativirodha; (f.)
antipode,(3.) paṭipakkhika; paṭiviruddha.
antipole,(m.) paṭiviruddha -akkha.
antiquarian,(adj.) purāṇavatthu -visayaka.
antiquary,(m.) purātattagavesaka.
antiquate,(v.t.)  appacāraṃ or atītakālikaṃ
antiquated,(adj.) parijiṇṇa.
antique,(adj.) purāṇa; atītāyatta. (nt.)
antiquity,(m.) atītakāla. (nt.) purāṇatta.
antiseptic,(adj.; n.) pūtināsaka.
antisocial,(adj.) samājavirudd ha.
antitheist,(m.) anissaravādī.
antithesis,(f.) viruddhatthatā; paṭipakkhatā.
antithetic,(adj.) aññamaññaviruddha.
antitype,(nt.) paṭhamanidassana.
antler,(nt.) sākhāyutta -siṅga; migasiṅga.
antlered,(adj.) visānī; migasiṅgayutta.
anus,(nt.)  guda. (m.) vaccamagga.
anvil,(f.) adhikaraṇī.
anxiety,(m.) ubbega; manovilekha.
anxious,(adj.) sāpekkha; cintāpara; ussuka.
anxiously,(adv.) saussāhaṃ; sāpekkhaṃ.
any,(adj.) kiṃ with ci and ya.
anybody,(n.) yo ko ci.
anyhow,(adv.; conj.) yat hā kathañci pi.
anything,(n.) yaṃ kiñci.
anyway,(adv.) yena kena ci ākārena.  anywhere : (adv.) yattha kattha ci.
anywise,(adv.) yena kena ci kārena.
aorist,(f.) ajjatanī vibhatti; atītakriyā.
apace,(adv.) turitaṃ; tuvaṭaṃ.
apart,(adv.) visuṃ; p uthu; ekamantaṃ.
apartment,(n.) ovaraka.
apathetic,(adj.) upekkhaka; udāsīna.
apathetically,(adv.) udāsīnākārena;
apathy,(f.) upekkhā; udasīnatā.
ape,(m.) vānara; kapi; sākhāmiga; makkaṭa.
apepsy,(f.) mandagahaṇitā.
aperient,(adj.; nt.) virecaka; virecana.
aperitive,(adj.; nt.) virecaka; virecana.
aperture,(nt.) vivara; randha; kuhara.
apetalous,(adj.) dalarahita.
apex,(nt.) agga; sikhara. (f.) koṭi. (m.)
aphasia,(f.) kathetum asakyatā. (m.)
aphorism,(nt.) sutta; manta. (f.) kārikā.
aphrodisiac,(adj.) kāmuddīpaka.
apiary,(nt.) madhukarāgāra.
apiculture,(nt.) madhukarapālana.
apiece,(adv.) khaṇḍaso; bhāgaso;
apish,(adj.) jaḷa; vā narasama.
apishly,(adv.) vānarasamaṃ.
apishness,(nt.) eḷamūgatta; kapisadisatta.
apocope,(m.) antakkharalopa.
apocryphal,(adj.) ayathābhūta; saṅkitabba.
apod,(m.) apadasatta.
apodictic,(adj.) visada; pākaṭa; suvitthārita.
Apollo,(m.) suriyade va.
apologetic,(adj.; n.) khamāyācaka;
apologetically,(adv.) accayadesanāya.
apologist,(m.) sakamatapatiṭṭhāpaka.
apologise,(v.i.) khamāpeti; attadosam
apologue,(f.) upadesakathā.
apology,(f.) khamāyācanā. (nt.)
apoplectic,(adj.) mucchājanaka.
apoplexy,(f.) mucchā. (m.) sativippavāsa.
apostasy,(m.) sadhammacāga.
apostate,(m.) sadhammacāgī.
apostatise,(v.i.) dhammaṃ paccakkhāti;
apostle,(m.) paṭhamadhammadūta;
apostolate,(nt.) dhammadūtādhipacca.
apostrophe,(f.) lopasaññā.
apothecary,(m.) bhesajjasampādaka.
apotheosis,(nt.) devattāropaṇa.
apotheosise,(v.t.) devattam āropeti. (pp.)
appal,(v.t.) bhāyāpeti; tāseti. (pp.)
apparatus,(nt.) upakaraṇa.
apparel,(nt.) vatthābharaṇa. (v.t.) nivāseti;
apparent,(adj.) dissamāna; pākaṭa; visada.
appare ntly,(adv.) dissamānākārena.
apparition,(nt.) bhūtadassana. (m.)
appeal,(v.t.i.) uttarādhikaraṇaṃ yācati;
appear,(v.i.) āvibhavati; pātubhavati;
appearance,(m.) pātubhāva; uppāda; udaya;
appease,(v.t.) upasameti; sannisīdāpeti.
appeasement,(nt.) upasamana;
appellant,(m.) uttarivincchayākaṅkhī.
appellation,(nt.) nāma; abhidhāna. (f.)
append,(nt.) anubandheti; olambeti;
appendage,(m.) anubandha.
appendant,(adj.) anughaṭita; upanibaddha.
appendicitis,(m.) antagaṇṭhikābādha.
appendix,(m.) avasiṭṭhasaṅgaha; upagantha.
appertain,(v.i.) sambajjhati. (pp.)
appetence,(f.) īhā; taṅhā.
appetent,(adj.) īhāyutta.
appetite,(f.) icchā; abhilāsā; khudā;
appetize,(v.t) jighacchaṃ janeti.  applaud : (v.t.i.) pasaṃsati; th ometi;
applause,(f.) thomanā; abhitthuti; kittanā.
apple,(nt.) sītāphala.
appliance,(f.) appaṇā. (nt.) upakaraṇa.
applicable,(adj.) anucchavika; kammañña;
applicably,(adv.) yathānurūpaṃ.
applicant,(m.) āyācaka; ākaṅkhī; apekkhaka.
application,(f.) āyācanā; samappaṇā;
appalling,(adj.) bhayajanaka; bhayānaka.
apply,(v.t.i.) appeti; āyācati; upaṭṭhāti;
apply oneself to,niyojeti; upayojeti.
appoint,(v.t.) niyameti; niyojeti; adhikaroti;
appointment,(m.) adhikāra; niya ma;
apportion,(v.t.) onojeti; vibhajati; vikappeti.
apposite,(adj.) ucita; anurūpa; saṅgata.
appositely,(adv.) yathocitaṃ; yathārahaṃ.
apposition,(nt.) 1. samānādhikaraṇa; 2.
appraisal,(nt.) agghaniyamana.
appraise,(v.t.) agghāpeti; mūlaṃ niyameti.
appraisement,(nt.) agghāpana.
appraiser,(m.) agghakāra; agghāpaka.
appreciate,(v.t.i.) anumodati; agghaṃ or
appreciation,(f.) anumodanā; guṇāpaciti;
apprehend,(v.t.) 1. rodheti; gaṇhāti; 2.
appre hension,(nt.) rodhana; gahaṇa. (m.)
apprehensive,(adj.) sāsaṅka; sappaṭibhaya.
apprehensively,(adv.) sāsaṅkaṃ;
apprentice,(m.) sekkha; sippantevāsi.
apprentice ship,(nt.) sissatta; antevāsikatta.
apprise,(v.t.i.) nivedeti; āroceti. (pp.)
approach,(v.t.i.) upagacchati; upasaṅkamati;
approachable,(adj.) upagamanīya .
approaching,(adj.) upakaṭṭha; āgāmi.
approbate,(v.t.) sampaṭicchati; anumaññati.
approbation,(nt.) sampaṭicchana. (f.)
appropriate,(adj.) ucita; anurūpa; kappiya.
appropriately,(adv.) ucitākārena;
appropriation,(nt.) āyattakaraṇa. (m.)
approval,(f.) anuññā; anumati;
approve,(v.t.i.) anujānāti; anumaññati;
approximate,(adj.) accāsanna; samīpatara.
approximately,(adv.) āsannataraṃ;
approximation,(nt.) samīpānayana.
appurtenance,(nt.) parikkhāra; upakaraṇa.
appurtenant,(adj.) parikkhārabhūta.
April,(m.) Cittamāsa.
apron,(nt.) kaṭipaṭicchādana;
apt,(adj.) ucita; yogga; pavīṇa; kusala;
aptitude,(nt.) kosalla; pāṭava; cāturiya;
aptly,(adv.) pāṭavena; kosallena.
aptness,(nt.) pāṭava; kosalla.
aqua,(nt.) āpa; paya; jala; vāri.
aquarium,(nt.) mīnāgāra.
Aquarius,(m.) kumbharāsi.
aquatic,(adj.) jalaja; vārigocara.
aqueduct,(f.) panālikā; jalanetti;
aqu eous,(adj.) jalabahula; jalajāta.
aquiline,(adj.) garuḷākāra.
Arab,(m.) arābidesīya.  Arabian : (adj.) arābijātika.
arable,(adj.) kasiyogga; kasanāraha.
arbiter,(m.) niṇṇetu; vinicchayadāyaka;
arbitral,(adj.) majjhaṭṭhatīraṇāyatta.
arbit rarily,(adv.) attanomatiyā;
arbitrary,(adj.) attanomatika; sericārī.
arbitrate,(v.t.i.) tīreti; niccheti; niṇṇeti. (pp.)
arbitration,(m.) majjhattavinicchaya.
arbitrator,(m.) niṇṇetu; vinicchayadāyaka;
arboreal,(adj.) rukkhajīvī.
arboriculture,(nt.) rukkharopaṇa.
arbour,(m.) nikuñja; latāmaṇḍapa.
arc,(m.) addhavaṭṭula; candavaṅka.
arcade,(m.) toraṇacchannamagga;
Arcadian,(adj.) jānapadika.
arch,(nt.) toraṇa; addhamaṇḍala. (a dj.)
archaeologist,(m.) purātattavedī.
archaeology,(f.) purāvatthuvijjā.
archaic,(adj.) addhagata; kālātīta.
arch aism,(nt.) atītānugamana.
archangel,(m.) seṭṭhadevadūta.
archbishop,(m.) devapūjakādhipati.
archduke,(m.) seṭṭhādipāda;
archer,(n.) issāsa; dhanuddhara.
archery,(nt.) dhanusippa; issattha.
archetype,(nt.) mūlapaṭibimba.
archipe lago,(m.) 1. dīparāsi; 2.
architect,(m.) nimmāṇasippī.
architecture,(nt.) nimmāṇasippa.
archives,(nt.) itihāsalekhanāgara;
arctic,(adj.) uttarantāyatta; merupadesīya.
arctic circle,(nt.) merupa rivaṭṭa.
ardency,(m.) ātāpa; ussāha.
ardent,(adj.) uttatta; ātāpī; pahitatta;
ardently,(adv.) saussāhaṃ; sānurāgaṃ.
ardour,(m.) adhikatāpa; ātappa; ussāha;
arduous,(adj.) durāroha; dukkara;
area,(m.) bhūmippadesa; āy āmavitthāra.
areca,(m.) pūga; kamuka.
arecanut,(nt.) pūgaphala.
arena,(f.) mallabhūmi. (nt.) raṅgamaṇḍala.
argent,(adj.) rejatavaṇṇa.
argentine,(adj.) rejatopama.
argil,(f.) kumbhakāramattikā.
argue,(v.t.i.) vivadati; pamāṇayati; yuttiṃ
arguer,(m.) vādī; yuttikathī.
argument,(m.) vivāda. (f.) yuttikathā.
argumentation,(nt.) vivadana;
argumentative,(adj.) takkika; vādappiya.
aerial,(adj.) 1. vāyumaya; 2. ākāsagata.
arid,(adj.) sukkha; nissāra.
Aries,(m.) mesarāsi.
aright,(adv.) sammā; yathātathaṃ.
arise,(v.i.) udeti; uppajjati; ubbhavati;
arising,(f.) jāti; uppatti; nibbat ti. (m.) udaya;
arising from a cause,(adj.) hetuppabhava.
arising together,(adj.) sahabhū.
aristocracy,(f.) issarajanatā. (nt.) adhipatīhi
aristocrat,(m.) issarajana.
arithmetic,(f.) aṅ kavijjā. (nt.) gaṇita.
arithmetical,(adj.) aṅkavijjānugata.
arithmetician,(m.) gaṇitaññū; gaṇaka.
ark,(f.) mañjūsā; peḷā; taraṇī; nāvā.
arm,(m.) bāhu; bhuja. (f.) bāhā. (v.i.)
armada,(m.) yuddhanāvāsamūha.
armadillo,(f.) kapālagodhā.
armament,(f.) sannaddhasenā. (m.)
armchair,(f.) āsandi.
armful,(adj.) pasatamatta.
armistice,(f.) kālika -yuddhavirati.
armlet,(nt.) kāyura; bāhumūlavibhūsana.
armour,(m.) sannāha; kavaca. (nt.) vamma.
armoury,(nt.) āyudhāgāra.
armpit,(nt.) upakaccha.
army,) sen ādala.
army of chariots,(f.) rathasenā.
army of elephants,(f.) hatthisenā.
aroma,(m.) sugandha; surabhi.
aromatic,(adj.) sugandhī; surabhiyutta.
aromatics,(m.; plu.) sugahajātayo.
around,(adv.) abhito; parito; samantato;
arouse,(v.t.) pabodheti; uttejeti;
arousing,(nt.) pabodhana; uttejana.
arrack,(f.) tālasurā; nāḷikerī.
arraign,(v.t.) codeti; vinicchayaṃ neti. (pp.)
arraignment,(f.) codanā; vinicchayapāpanā.
arrange,(v.t.i) saṃvidahati; paṭipādeti;
arrangement,(nt.) saṃvidhāna; paṭiyādana.
arrant,(adj.) duṭṭha; vañcaka; saṭha.
arrantly,(adv.) duṭṭhākārena; saṭhena.
array,(v.t.) 1. byūhayati. 2. bhūseti;
array of an army,(nt.) aṇīkagga.
arrear,(nt.)(pl u.) avasiṭṭha -iṇa.
arrearage,(nt.) asodhita -iṇa.
arrest,(v.t.) 1. rundhati; sannirumbheti. 2.
arrival,(nt.) āgamana; upagamana;
arrive,(v.i.) pappoti; pāpuṇāti; upagacchati;
arrogance,(m.) dappa; abhimāna; ahaṅkāra.
arrogant,(adj.) unnala; dappita; gabbita;
arrogantly,(adv.) sadappaṃ; sābhimānaṃ.
arrogate,(v.t) aññ āyena sakāyattaṃ karoti.
arrogation,(nt.) ayuttiyā gahaṇa.
arrow,(m.) usu; sara; bāṇa. (nt.) asana;
arrow headed,(adj.) saratuṇḍākāra.
arsenal,(nt.) yuddhāyudhāgāra.
arsenic,(nt.) visapāsāṇa. (adj.)
arson,(nt.) gehadāha na.
art,(nt.) sippa; kosalla; nepuñña; (painting)
arterial,(adj.) dhamanīsambandha.
artery,(f.) dhammanī; kaṇḍarā.
artful,(adj.) saṭha; kapaṭa; māyāvi.
artfulness,(f.) māyāvitā. (nt.) cāturiya;
article,(m.) niband ha. (f.) visesalipi. (nt.)
article of trade,(nt.) paṇiya.
articulate,(v.t.i) udīreti; uccāreti. (pp.)
